epoch,train_loss,train_rmse,val_rmse,lr,best_rmse
1,0.226345,0.2142,43.9117,2.830505468209031e-05,43.9117
2,0.201174,0.2018,40.5365,7.660623193255291e-05,40.5365
3,0.191622,0.1941,39.8739,9.999985309796868e-05,39.8739
4,0.187935,0.1905,39.3034,9.9647702542495e-05,39.3034
5,0.185989,0.1886,38.9371,9.862415468462468e-05,38.9371
6,0.185024,0.1867,38.3661,9.694305125325553e-05,38.3661
7,0.181649,0.1848,38.8015,9.4627126288391e-05,38.3661
8,0.181847,0.1847,37.3033,9.17076987022489e-05,37.3033
9,0.180523,0.183,38.7066,8.822424874470084e-05,37.3033
10,0.180757,0.1832,37.9047,8.422388410062036e-05,37.3033
11,0.180611,0.1832,38.3519,7.97607028392576e-05,37.3033
12,0.177234,0.1803,36.8767,7.489506183065695e-05,36.8767
13,0.180572,0.1817,38.3313,6.969276052253095e-05,36.8767
14,0.176433,0.1786,37.284,6.422415111560798e-05,36.8767
15,0.177581,0.18,38.3102,5.856318717080536e-05,36.8767
16,0.178849,0.1806,37.2957,5.278642351418409e-05,36.8767
17,0.176917,0.1786,37.6596,4.697198096425502e-05,36.8767
18,0.173475,0.1749,37.589,4.119848988192345e-05,36.8767
19,0.175959,0.1792,37.7765,3.554402682974699e-05,36.8767
20,0.175708,0.1774,36.7432,3.0085058720366085e-05,36.7432
21,0.177408,0.1812,37.4026,2.4895408732688254e-05,36.7432
22,0.177663,0.18,37.3651,2.0045257980035946e-05,36.7432
23,0.179281,0.1804,37.5783,1.560019643098331e-05,36.7432
24,0.176739,0.1801,37.3546,1.1620335917549821e-05,36.7432
25,0.179252,0.1796,37.4304,8.159497225793097e-06,36.7432
26,0.176556,0.1788,37.5873,5.264482262006143e-06,36.7432
27,0.174751,0.1786,37.46,2.9744411372226256e-06,36.7432
28,0.174353,0.1763,37.4045,1.3203427291266399e-06,36.7432
29,0.175406,0.1786,37.2849,3.245558811084778e-07,36.7432
30,0.176171,0.1785,37.4673,5.46902031325542e-10,36.7432
